image_path,target
./image_data/preprocessing_images\N\N802.jpg,13.0
./image_data/preprocessing_images\P\P339.jpg,15.0
./image_data/preprocessing_images\O\O973.jpg,14.0
./image_data/preprocessing_images\B\B627.jpg,1.0
./image_data/preprocessing_images\I\I277.jpg,8.0
./image_data/preprocessing_images\L\L598.jpg,11.0
./image_data/preprocessing_images\Y\Y376.jpg,24.0
./image_data/preprocessing_images\del\del28.jpg,26.0
./image_data/preprocessing_images\N\N192.jpg,13.0
./image_data/preprocessing_images\space\space269.jpg,28.0
./image_data/preprocessing_images\Y\Y620.jpg,24.0
./image_data/preprocessing_images\J\J772.jpg,9.0
./image_data/preprocessing_images\G\G275.jpg,6.0
./image_data/preprocessing_images\B\B285.jpg,1.0
./image_data/preprocessing_images\D\D477.jpg,3.0
./image_data/preprocessing_images\D\D449.jpg,3.0
./image_data/preprocessing_images\E\E237.jpg,4.0
./image_data/preprocessing_images\X\X116.jpg,23.0
./image_data/preprocessing_images\G\G806.jpg,6.0
./image_data/preprocessing_images\G\G193.jpg,6.0
./image_data/preprocessing_images\K\K161.jpg,10.0
./image_data/preprocessing_images\H\H464.jpg,7.0
./image_data/preprocessing_images\C\C406.jpg,2.0
./image_data/preprocessing_images\V\V605.jpg,21.0
./image_data/preprocessing_images\T\T151.jpg,19.0
./image_data/preprocessing_images\U\U993.jpg,20.0
./image_data/preprocessing_images\O\O337.jpg,14.0
./image_data/preprocessing_images\M\M595.jpg,12.0
./image_data/preprocessing_images\M\M570.jpg,12.0
./image_data/preprocessing_images\Q\Q57.jpg,16.0
./image_data/preprocessing_images\K\K90.jpg,10.0
./image_data/preprocessing_images\W\W182.jpg,22.0
./image_data/preprocessing_images\space\space325.jpg,28.0
./image_data/preprocessing_images\M\M196.jpg,12.0
./image_data/preprocessing_images\H\H491.jpg,7.0
./image_data/preprocessing_images\P\P434.jpg,15.0
./image_data/preprocessing_images\W\W263.jpg,22.0
./image_data/preprocessing_images\U\U784.jpg,20.0
./image_data/preprocessing_images\U\U151.jpg,20.0
./image_data/preprocessing_images\H\H53.jpg,7.0
./image_data/preprocessing_images\V\V782.jpg,21.0
./image_data/preprocessing_images\J\J888.jpg,9.0
./image_data/preprocessing_images\I\I885.jpg,8.0
./image_data/preprocessing_images\H\H84.jpg,7.0
./image_data/preprocessing_images\R\R902.jpg,17.0
./image_data/preprocessing_images\E\E753.jpg,4.0
./image_data/preprocessing_images\C\C42.jpg,2.0
./image_data/preprocessing_images\X\X468.jpg,23.0
./image_data/preprocessing_images\A\A242.jpg,0.0
./image_data/preprocessing_images\del\del174.jpg,26.0
./image_data/preprocessing_images\J\J127.jpg,9.0
./image_data/preprocessing_images\U\U902.jpg,20.0
./image_data/preprocessing_images\U\U846.jpg,20.0
./image_data/preprocessing_images\V\V866.jpg,21.0
./image_data/preprocessing_images\U\U510.jpg,20.0
./image_data/preprocessing_images\U\U53.jpg,20.0
./image_data/preprocessing_images\N\N115.jpg,13.0
./image_data/preprocessing_images\E\E477.jpg,4.0
./image_data/preprocessing_images\V\V106.jpg,21.0
./image_data/preprocessing_images\W\W139.jpg,22.0
./image_data/preprocessing_images\G\G707.jpg,6.0
./image_data/preprocessing_images\M\M158.jpg,12.0
./image_data/preprocessing_images\P\P170.jpg,15.0
./image_data/preprocessing_images\K\K40.jpg,10.0
./image_data/preprocessing_images\S\S989.jpg,18.0
./image_data/preprocessing_images\J\J564.jpg,9.0
./image_data/preprocessing_images\C\C471.jpg,2.0
./image_data/preprocessing_images\H\H361.jpg,7.0
./image_data/preprocessing_images\L\L726.jpg,11.0
./image_data/preprocessing_images\N\N292.jpg,13.0
./image_data/preprocessing_images\W\W681.jpg,22.0
./image_data/preprocessing_images\B\B563.jpg,1.0
./image_data/preprocessing_images\P\P145.jpg,15.0
./image_data/preprocessing_images\W\W111.jpg,22.0
./image_data/preprocessing_images\I\I342.jpg,8.0
./image_data/preprocessing_images\I\I208.jpg,8.0
./image_data/preprocessing_images\Z\Z877.jpg,25.0
./image_data/preprocessing_images\F\F899.jpg,5.0
./image_data/preprocessing_images\H\H202.jpg,7.0
./image_data/preprocessing_images\E\E954.jpg,4.0
./image_data/preprocessing_images\T\T926.jpg,19.0
./image_data/preprocessing_images\U\U235.jpg,20.0
./image_data/preprocessing_images\nothing\nothing230.jpg,27.0
./image_data/preprocessing_images\O\O351.jpg,14.0
./image_data/preprocessing_images\U\U104.jpg,20.0
./image_data/preprocessing_images\del\del580.jpg,26.0
./image_data/preprocessing_images\V\V959.jpg,21.0
./image_data/preprocessing_images\T\T347.jpg,19.0
./image_data/preprocessing_images\F\F77.jpg,5.0
./image_data/preprocessing_images\A\A45.jpg,0.0
./image_data/preprocessing_images\Z\Z968.jpg,25.0
./image_data/preprocessing_images\P\P946.jpg,15.0
./image_data/preprocessing_images\Q\Q716.jpg,16.0
./image_data/preprocessing_images\K\K896.jpg,10.0
./image_data/preprocessing_images\del\del603.jpg,26.0
./image_data/preprocessing_images\B\B545.jpg,1.0
./image_data/preprocessing_images\space\space290.jpg,28.0
./image_data/preprocessing_images\J\J805.jpg,9.0
./image_data/preprocessing_images\space\space490.jpg,28.0
./image_data/preprocessing_images\Q\Q657.jpg,16.0
./image_data/preprocessing_images\F\F562.jpg,5.0
./image_data/preprocessing_images\K\K656.jpg,10.0
./image_data/preprocessing_images\Z\Z294.jpg,25.0
./image_data/preprocessing_images\B\B457.jpg,1.0
./image_data/preprocessing_images\M\M326.jpg,12.0
./image_data/preprocessing_images\F\F412.jpg,5.0
./image_data/preprocessing_images\N\N587.jpg,13.0
./image_data/preprocessing_images\Q\Q153.jpg,16.0
./image_data/preprocessing_images\C\C600.jpg,2.0
./image_data/preprocessing_images\X\X548.jpg,23.0
./image_data/preprocessing_images\A\A184.jpg,0.0
./image_data/preprocessing_images\G\G836.jpg,6.0
./image_data/preprocessing_images\T\T44.jpg,19.0
./image_data/preprocessing_images\F\F103.jpg,5.0
./image_data/preprocessing_images\V\V956.jpg,21.0
./image_data/preprocessing_images\G\G240.jpg,6.0
./image_data/preprocessing_images\E\E182.jpg,4.0
./image_data/preprocessing_images\P\P346.jpg,15.0
./image_data/preprocessing_images\Q\Q980.jpg,16.0
./image_data/preprocessing_images\I\I4.jpg,8.0
./image_data/preprocessing_images\I\I524.jpg,8.0
./image_data/preprocessing_images\nothing\nothing206.jpg,27.0
./image_data/preprocessing_images\P\P399.jpg,15.0
./image_data/preprocessing_images\Y\Y523.jpg,24.0
./image_data/preprocessing_images\J\J201.jpg,9.0
./image_data/preprocessing_images\G\G432.jpg,6.0
./image_data/preprocessing_images\M\M283.jpg,12.0
./image_data/preprocessing_images\X\X29.jpg,23.0
./image_data/preprocessing_images\O\O957.jpg,14.0
./image_data/preprocessing_images\P\P704.jpg,15.0
./image_data/preprocessing_images\S\S435.jpg,18.0
./image_data/preprocessing_images\B\B353.jpg,1.0
./image_data/preprocessing_images\S\S87.jpg,18.0
./image_data/preprocessing_images\Z\Z306.jpg,25.0
./image_data/preprocessing_images\L\L735.jpg,11.0
./image_data/preprocessing_images\S\S527.jpg,18.0
./image_data/preprocessing_images\Q\Q957.jpg,16.0
./image_data/preprocessing_images\Z\Z359.jpg,25.0
./image_data/preprocessing_images\S\S206.jpg,18.0
./image_data/preprocessing_images\S\S831.jpg,18.0
./image_data/preprocessing_images\Z\Z474.jpg,25.0
./image_data/preprocessing_images\A\A586.jpg,0.0
./image_data/preprocessing_images\S\S34.jpg,18.0
./image_data/preprocessing_images\Q\Q964.jpg,16.0
./image_data/preprocessing_images\J\J982.jpg,9.0
./image_data/preprocessing_images\Q\Q634.jpg,16.0
./image_data/preprocessing_images\nothing\nothing129.jpg,27.0
./image_data/preprocessing_images\M\M871.jpg,12.0
./image_data/preprocessing_images\M\M528.jpg,12.0
./image_data/preprocessing_images\H\H397.jpg,7.0
./image_data/preprocessing_images\L\L508.jpg,11.0
./image_data/preprocessing_images\nothing\nothing961.jpg,27.0
./image_data/preprocessing_images\C\C669.jpg,2.0
./image_data/preprocessing_images\M\M705.jpg,12.0
./image_data/preprocessing_images\C\C578.jpg,2.0
./image_data/preprocessing_images\P\P189.jpg,15.0
./image_data/preprocessing_images\M\M620.jpg,12.0
./image_data/preprocessing_images\C\C231.jpg,2.0
./image_data/preprocessing_images\F\F45.jpg,5.0
./image_data/preprocessing_images\A\A241.jpg,0.0
./image_data/preprocessing_images\P\P19.jpg,15.0
./image_data/preprocessing_images\N\N402.jpg,13.0
./image_data/preprocessing_images\J\J585.jpg,9.0
./image_data/preprocessing_images\D\D703.jpg,3.0
./image_data/preprocessing_images\T\T644.jpg,19.0
./image_data/preprocessing_images\B\B150.jpg,1.0
./image_data/preprocessing_images\F\F53.jpg,5.0
./image_data/preprocessing_images\N\N80.jpg,13.0
./image_data/preprocessing_images\C\C305.jpg,2.0
./image_data/preprocessing_images\A\A765.jpg,0.0
./image_data/preprocessing_images\X\X762.jpg,23.0
./image_data/preprocessing_images\C\C761.jpg,2.0
./image_data/preprocessing_images\I\I701.jpg,8.0
./image_data/preprocessing_images\B\B607.jpg,1.0
./image_data/preprocessing_images\X\X452.jpg,23.0
./image_data/preprocessing_images\Q\Q574.jpg,16.0
./image_data/preprocessing_images\A\A451.jpg,0.0
./image_data/preprocessing_images\C\C934.jpg,2.0
./image_data/preprocessing_images\Y\Y768.jpg,24.0
./image_data/preprocessing_images\A\A220.jpg,0.0
./image_data/preprocessing_images\space\space776.jpg,28.0
./image_data/preprocessing_images\A\A630.jpg,0.0
./image_data/preprocessing_images\X\X145.jpg,23.0
./image_data/preprocessing_images\S\S140.jpg,18.0
./image_data/preprocessing_images\D\D255.jpg,3.0
./image_data/preprocessing_images\E\E330.jpg,4.0
./image_data/preprocessing_images\H\H857.jpg,7.0
./image_data/preprocessing_images\H\H555.jpg,7.0
./image_data/preprocessing_images\A\A698.jpg,0.0
./image_data/preprocessing_images\U\U87.jpg,20.0
./image_data/preprocessing_images\del\del748.jpg,26.0
./image_data/preprocessing_images\B\B402.jpg,1.0
./image_data/preprocessing_images\R\R289.jpg,17.0
./image_data/preprocessing_images\Q\Q846.jpg,16.0
./image_data/preprocessing_images\A\A608.jpg,0.0
./image_data/preprocessing_images\Q\Q597.jpg,16.0
./image_data/preprocessing_images\del\del505.jpg,26.0
./image_data/preprocessing_images\H\H591.jpg,7.0
./image_data/preprocessing_images\del\del781.jpg,26.0
./image_data/preprocessing_images\M\M686.jpg,12.0
./image_data/preprocessing_images\H\H446.jpg,7.0
./image_data/preprocessing_images\W\W353.jpg,22.0
./image_data/preprocessing_images\E\E240.jpg,4.0
./image_data/preprocessing_images\K\K125.jpg,10.0
./image_data/preprocessing_images\A\A336.jpg,0.0
./image_data/preprocessing_images\del\del252.jpg,26.0
./image_data/preprocessing_images\D\D623.jpg,3.0
./image_data/preprocessing_images\O\O500.jpg,14.0
./image_data/preprocessing_images\I\I24.jpg,8.0
./image_data/preprocessing_images\V\V814.jpg,21.0
./image_data/preprocessing_images\del\del128.jpg,26.0
./image_data/preprocessing_images\R\R850.jpg,17.0
./image_data/preprocessing_images\K\K432.jpg,10.0
./image_data/preprocessing_images\U\U694.jpg,20.0
./image_data/preprocessing_images\B\B774.jpg,1.0
./image_data/preprocessing_images\A\A412.jpg,0.0
./image_data/preprocessing_images\W\W118.jpg,22.0
./image_data/preprocessing_images\C\C932.jpg,2.0
./image_data/preprocessing_images\B\B684.jpg,1.0
./image_data/preprocessing_images\S\S516.jpg,18.0
./image_data/preprocessing_images\V\V666.jpg,21.0
./image_data/preprocessing_images\R\R685.jpg,17.0
./image_data/preprocessing_images\C\C893.jpg,2.0
./image_data/preprocessing_images\D\D104.jpg,3.0
./image_data/preprocessing_images\T\T207.jpg,19.0
./image_data/preprocessing_images\Z\Z7.jpg,25.0
./image_data/preprocessing_images\G\G727.jpg,6.0
./image_data/preprocessing_images\del\del819.jpg,26.0
./image_data/preprocessing_images\H\H698.jpg,7.0
./image_data/preprocessing_images\nothing\nothing793.jpg,27.0
./image_data/preprocessing_images\E\E105.jpg,4.0
./image_data/preprocessing_images\nothing\nothing492.jpg,27.0
./image_data/preprocessing_images\S\S243.jpg,18.0
./image_data/preprocessing_images\Y\Y635.jpg,24.0
./image_data/preprocessing_images\P\P129.jpg,15.0
./image_data/preprocessing_images\Y\Y430.jpg,24.0
./image_data/preprocessing_images\H\H109.jpg,7.0
./image_data/preprocessing_images\A\A749.jpg,0.0
./image_data/preprocessing_images\U\U213.jpg,20.0
./image_data/preprocessing_images\K\K234.jpg,10.0
./image_data/preprocessing_images\del\del357.jpg,26.0
./image_data/preprocessing_images\Y\Y958.jpg,24.0
./image_data/preprocessing_images\S\S545.jpg,18.0
./image_data/preprocessing_images\Z\Z256.jpg,25.0
./image_data/preprocessing_images\I\I698.jpg,8.0
./image_data/preprocessing_images\U\U377.jpg,20.0
./image_data/preprocessing_images\del\del150.jpg,26.0
./image_data/preprocessing_images\D\D774.jpg,3.0
./image_data/preprocessing_images\B\B900.jpg,1.0
./image_data/preprocessing_images\W\W622.jpg,22.0
./image_data/preprocessing_images\space\space150.jpg,28.0
./image_data/preprocessing_images\M\M889.jpg,12.0
./image_data/preprocessing_images\Y\Y803.jpg,24.0
./image_data/preprocessing_images\X\X949.jpg,23.0
./image_data/preprocessing_images\P\P829.jpg,15.0
./image_data/preprocessing_images\A\A132.jpg,0.0
./image_data/preprocessing_images\I\I588.jpg,8.0
./image_data/preprocessing_images\F\F969.jpg,5.0
./image_data/preprocessing_images\W\W882.jpg,22.0
./image_data/preprocessing_images\Y\Y987.jpg,24.0
./image_data/preprocessing_images\T\T3.jpg,19.0
./image_data/preprocessing_images\N\N459.jpg,13.0
./image_data/preprocessing_images\E\E53.jpg,4.0
./image_data/preprocessing_images\R\R975.jpg,17.0
./image_data/preprocessing_images\Z\Z486.jpg,25.0
./image_data/preprocessing_images\D\D759.jpg,3.0
./image_data/preprocessing_images\del\del183.jpg,26.0
./image_data/preprocessing_images\S\S613.jpg,18.0
./image_data/preprocessing_images\V\V626.jpg,21.0
./image_data/preprocessing_images\space\space577.jpg,28.0
./image_data/preprocessing_images\H\H88.jpg,7.0
./image_data/preprocessing_images\V\V247.jpg,21.0
./image_data/preprocessing_images\G\G90.jpg,6.0
./image_data/preprocessing_images\X\X246.jpg,23.0
./image_data/preprocessing_images\T\T638.jpg,19.0
./image_data/preprocessing_images\T\T245.jpg,19.0
./image_data/preprocessing_images\J\J301.jpg,9.0
./image_data/preprocessing_images\K\K2.jpg,10.0
./image_data/preprocessing_images\G\G674.jpg,6.0
./image_data/preprocessing_images\C\C710.jpg,2.0
./image_data/preprocessing_images\J\J86.jpg,9.0
./image_data/preprocessing_images\T\T276.jpg,19.0
./image_data/preprocessing_images\N\N668.jpg,13.0
./image_data/preprocessing_images\H\H864.jpg,7.0
./image_data/preprocessing_images\G\G342.jpg,6.0
./image_data/preprocessing_images\U\U234.jpg,20.0
./image_data/preprocessing_images\W\W953.jpg,22.0
./image_data/preprocessing_images\V\V777.jpg,21.0
./image_data/preprocessing_images\W\W951.jpg,22.0
./image_data/preprocessing_images\W\W592.jpg,22.0
./image_data/preprocessing_images\space\space14.jpg,28.0
./image_data/preprocessing_images\Y\Y713.jpg,24.0
./image_data/preprocessing_images\N\N241.jpg,13.0
./image_data/preprocessing_images\del\del130.jpg,26.0
./image_data/preprocessing_images\N\N579.jpg,13.0
./image_data/preprocessing_images\C\C759.jpg,2.0
./image_data/preprocessing_images\C\C86.jpg,2.0
./image_data/preprocessing_images\space\space705.jpg,28.0
./image_data/preprocessing_images\G\G391.jpg,6.0
./image_data/preprocessing_images\T\T601.jpg,19.0
./image_data/preprocessing_images\C\C592.jpg,2.0
./image_data/preprocessing_images\E\E187.jpg,4.0
./image_data/preprocessing_images\S\S334.jpg,18.0
./image_data/preprocessing_images\P\P241.jpg,15.0
./image_data/preprocessing_images\space\space381.jpg,28.0
./image_data/preprocessing_images\Z\Z890.jpg,25.0
./image_data/preprocessing_images\B\B956.jpg,1.0
./image_data/preprocessing_images\K\K152.jpg,10.0
./image_data/preprocessing_images\U\U335.jpg,20.0
./image_data/preprocessing_images\H\H270.jpg,7.0
./image_data/preprocessing_images\B\B838.jpg,1.0
./image_data/preprocessing_images\S\S628.jpg,18.0
./image_data/preprocessing_images\Y\Y240.jpg,24.0
./image_data/preprocessing_images\P\P615.jpg,15.0
./image_data/preprocessing_images\L\L116.jpg,11.0
./image_data/preprocessing_images\C\C280.jpg,2.0
./image_data/preprocessing_images\T\T516.jpg,19.0
./image_data/preprocessing_images\V\V357.jpg,21.0
./image_data/preprocessing_images\R\R696.jpg,17.0
./image_data/preprocessing_images\U\U823.jpg,20.0
./image_data/preprocessing_images\I\I337.jpg,8.0
./image_data/preprocessing_images\N\N431.jpg,13.0
./image_data/preprocessing_images\E\E213.jpg,4.0
./image_data/preprocessing_images\X\X295.jpg,23.0
./image_data/preprocessing_images\L\L269.jpg,11.0
./image_data/preprocessing_images\Q\Q622.jpg,16.0
./image_data/preprocessing_images\nothing\nothing840.jpg,27.0
./image_data/preprocessing_images\C\C551.jpg,2.0
./image_data/preprocessing_images\F\F542.jpg,5.0
./image_data/preprocessing_images\D\D457.jpg,3.0
./image_data/preprocessing_images\I\I121.jpg,8.0
./image_data/preprocessing_images\X\X802.jpg,23.0
./image_data/preprocessing_images\E\E306.jpg,4.0
./image_data/preprocessing_images\T\T506.jpg,19.0
./image_data/preprocessing_images\M\M989.jpg,12.0
./image_data/preprocessing_images\V\V762.jpg,21.0
./image_data/preprocessing_images\M\M898.jpg,12.0
./image_data/preprocessing_images\W\W723.jpg,22.0
./image_data/preprocessing_images\U\U461.jpg,20.0
./image_data/preprocessing_images\nothing\nothing80.jpg,27.0
./image_data/preprocessing_images\V\V346.jpg,21.0
./image_data/preprocessing_images\N\N554.jpg,13.0
./image_data/preprocessing_images\C\C827.jpg,2.0
./image_data/preprocessing_images\Z\Z685.jpg,25.0
./image_data/preprocessing_images\Y\Y62.jpg,24.0
./image_data/preprocessing_images\space\space410.jpg,28.0
./image_data/preprocessing_images\N\N37.jpg,13.0
./image_data/preprocessing_images\M\M67.jpg,12.0
./image_data/preprocessing_images\O\O778.jpg,14.0
./image_data/preprocessing_images\Y\Y84.jpg,24.0
./image_data/preprocessing_images\U\U219.jpg,20.0
./image_data/preprocessing_images\C\C192.jpg,2.0
./image_data/preprocessing_images\T\T321.jpg,19.0
./image_data/preprocessing_images\Y\Y182.jpg,24.0
./image_data/preprocessing_images\O\O544.jpg,14.0
./image_data/preprocessing_images\A\A420.jpg,0.0
./image_data/preprocessing_images\W\W962.jpg,22.0
./image_data/preprocessing_images\A\A762.jpg,0.0
./image_data/preprocessing_images\A\A427.jpg,0.0
./image_data/preprocessing_images\G\G812.jpg,6.0
./image_data/preprocessing_images\space\space23.jpg,28.0
./image_data/preprocessing_images\space\space977.jpg,28.0
./image_data/preprocessing_images\space\space205.jpg,28.0
./image_data/preprocessing_images\B\B414.jpg,1.0
./image_data/preprocessing_images\X\X764.jpg,23.0
./image_data/preprocessing_images\V\V324.jpg,21.0
./image_data/preprocessing_images\J\J633.jpg,9.0
./image_data/preprocessing_images\T\T489.jpg,19.0
./image_data/preprocessing_images\D\D365.jpg,3.0
./image_data/preprocessing_images\D\D244.jpg,3.0
./image_data/preprocessing_images\S\S424.jpg,18.0
./image_data/preprocessing_images\R\R915.jpg,17.0
./image_data/preprocessing_images\Y\Y695.jpg,24.0
./image_data/preprocessing_images\F\F619.jpg,5.0
./image_data/preprocessing_images\nothing\nothing855.jpg,27.0
./image_data/preprocessing_images\Y\Y104.jpg,24.0
./image_data/preprocessing_images\A\A856.jpg,0.0
./image_data/preprocessing_images\P\P4.jpg,15.0
./image_data/preprocessing_images\nothing\nothing392.jpg,27.0
./image_data/preprocessing_images\A\A529.jpg,0.0
./image_data/preprocessing_images\M\M36.jpg,12.0
./image_data/preprocessing_images\V\V699.jpg,21.0
./image_data/preprocessing_images\K\K274.jpg,10.0
./image_data/preprocessing_images\G\G394.jpg,6.0
./image_data/preprocessing_images\Z\Z625.jpg,25.0
./image_data/preprocessing_images\Z\Z573.jpg,25.0
./image_data/preprocessing_images\space\space176.jpg,28.0
./image_data/preprocessing_images\F\F132.jpg,5.0
./image_data/preprocessing_images\H\H447.jpg,7.0
./image_data/preprocessing_images\V\V542.jpg,21.0
./image_data/preprocessing_images\O\O188.jpg,14.0
./image_data/preprocessing_images\W\W972.jpg,22.0
./image_data/preprocessing_images\L\L665.jpg,11.0
./image_data/preprocessing_images\S\S971.jpg,18.0
./image_data/preprocessing_images\R\R27.jpg,17.0
./image_data/preprocessing_images\O\O548.jpg,14.0
./image_data/preprocessing_images\M\M581.jpg,12.0
./image_data/preprocessing_images\W\W342.jpg,22.0
./image_data/preprocessing_images\K\K203.jpg,10.0
./image_data/preprocessing_images\nothing\nothing304.jpg,27.0
./image_data/preprocessing_images\E\E912.jpg,4.0
./image_data/preprocessing_images\M\M289.jpg,12.0
./image_data/preprocessing_images\del\del463.jpg,26.0
./image_data/preprocessing_images\J\J631.jpg,9.0
./image_data/preprocessing_images\del\del398.jpg,26.0
./image_data/preprocessing_images\nothing\nothing804.jpg,27.0
./image_data/preprocessing_images\Q\Q806.jpg,16.0
./image_data/preprocessing_images\U\U361.jpg,20.0
./image_data/preprocessing_images\P\P277.jpg,15.0
./image_data/preprocessing_images\S\S231.jpg,18.0
./image_data/preprocessing_images\K\K569.jpg,10.0
./image_data/preprocessing_images\G\G744.jpg,6.0
./image_data/preprocessing_images\Y\Y166.jpg,24.0
./image_data/preprocessing_images\C\C139.jpg,2.0
./image_data/preprocessing_images\N\N334.jpg,13.0
./image_data/preprocessing_images\M\M219.jpg,12.0
./image_data/preprocessing_images\C\C497.jpg,2.0
./image_data/preprocessing_images\Z\Z224.jpg,25.0
./image_data/preprocessing_images\space\space828.jpg,28.0
./image_data/preprocessing_images\A\A708.jpg,0.0
./image_data/preprocessing_images\Z\Z123.jpg,25.0
./image_data/preprocessing_images\U\U804.jpg,20.0
./image_data/preprocessing_images\C\C711.jpg,2.0
./image_data/preprocessing_images\P\P236.jpg,15.0
./image_data/preprocessing_images\A\A636.jpg,0.0
./image_data/preprocessing_images\O\O689.jpg,14.0
./image_data/preprocessing_images\F\F958.jpg,5.0
./image_data/preprocessing_images\S\S748.jpg,18.0
./image_data/preprocessing_images\Y\Y926.jpg,24.0
./image_data/preprocessing_images\A\A583.jpg,0.0
./image_data/preprocessing_images\R\R322.jpg,17.0
./image_data/preprocessing_images\W\W970.jpg,22.0
./image_data/preprocessing_images\B\B41.jpg,1.0
./image_data/preprocessing_images\B\B765.jpg,1.0
./image_data/preprocessing_images\C\C286.jpg,2.0
./image_data/preprocessing_images\B\B421.jpg,1.0
./image_data/preprocessing_images\P\P748.jpg,15.0
./image_data/preprocessing_images\U\U83.jpg,20.0
./image_data/preprocessing_images\T\T59.jpg,19.0
./image_data/preprocessing_images\V\V821.jpg,21.0
./image_data/preprocessing_images\X\X980.jpg,23.0
./image_data/preprocessing_images\K\K423.jpg,10.0
./image_data/preprocessing_images\Q\Q196.jpg,16.0
./image_data/preprocessing_images\F\F857.jpg,5.0
./image_data/preprocessing_images\M\M474.jpg,12.0
./image_data/preprocessing_images\C\C951.jpg,2.0
./image_data/preprocessing_images\X\X33.jpg,23.0
./image_data/preprocessing_images\J\J344.jpg,9.0
./image_data/preprocessing_images\A\A245.jpg,0.0
./image_data/preprocessing_images\C\C401.jpg,2.0
./image_data/preprocessing_images\Y\Y576.jpg,24.0
./image_data/preprocessing_images\F\F904.jpg,5.0
./image_data/preprocessing_images\space\space851.jpg,28.0
./image_data/preprocessing_images\K\K804.jpg,10.0
./image_data/preprocessing_images\R\R787.jpg,17.0
./image_data/preprocessing_images\G\G845.jpg,6.0
./image_data/preprocessing_images\K\K881.jpg,10.0
./image_data/preprocessing_images\nothing\nothing379.jpg,27.0
./image_data/preprocessing_images\D\D404.jpg,3.0
./image_data/preprocessing_images\E\E331.jpg,4.0
./image_data/preprocessing_images\C\C706.jpg,2.0
./image_data/preprocessing_images\F\F335.jpg,5.0
./image_data/preprocessing_images\W\W530.jpg,22.0
./image_data/preprocessing_images\T\T919.jpg,19.0
./image_data/preprocessing_images\O\O280.jpg,14.0
./image_data/preprocessing_images\J\J965.jpg,9.0
./image_data/preprocessing_images\E\E890.jpg,4.0
./image_data/preprocessing_images\O\O341.jpg,14.0
./image_data/preprocessing_images\J\J178.jpg,9.0
./image_data/preprocessing_images\X\X0.jpg,23.0
./image_data/preprocessing_images\L\L89.jpg,11.0
./image_data/preprocessing_images\T\T780.jpg,19.0
./image_data/preprocessing_images\del\del616.jpg,26.0
./image_data/preprocessing_images\P\P39.jpg,15.0
./image_data/preprocessing_images\nothing\nothing161.jpg,27.0
./image_data/preprocessing_images\G\G595.jpg,6.0
./image_data/preprocessing_images\O\O116.jpg,14.0
./image_data/preprocessing_images\M\M75.jpg,12.0
./image_data/preprocessing_images\D\D376.jpg,3.0
./image_data/preprocessing_images\D\D686.jpg,3.0
./image_data/preprocessing_images\G\G691.jpg,6.0
./image_data/preprocessing_images\X\X758.jpg,23.0
./image_data/preprocessing_images\I\I572.jpg,8.0
./image_data/preprocessing_images\A\A405.jpg,0.0
./image_data/preprocessing_images\E\E133.jpg,4.0
./image_data/preprocessing_images\F\F312.jpg,5.0
./image_data/preprocessing_images\E\E697.jpg,4.0
./image_data/preprocessing_images\S\S44.jpg,18.0
./image_data/preprocessing_images\S\S523.jpg,18.0
./image_data/preprocessing_images\G\G559.jpg,6.0
./image_data/preprocessing_images\A\A422.jpg,0.0
./image_data/preprocessing_images\O\O848.jpg,14.0
./image_data/preprocessing_images\M\M785.jpg,12.0
./image_data/preprocessing_images\J\J674.jpg,9.0
./image_data/preprocessing_images\G\G998.jpg,6.0
./image_data/preprocessing_images\R\R718.jpg,17.0
./image_data/preprocessing_images\O\O771.jpg,14.0
./image_data/preprocessing_images\L\L185.jpg,11.0
./image_data/preprocessing_images\T\T24.jpg,19.0
./image_data/preprocessing_images\U\U881.jpg,20.0
./image_data/preprocessing_images\Y\Y151.jpg,24.0
./image_data/preprocessing_images\Y\Y490.jpg,24.0
./image_data/preprocessing_images\F\F223.jpg,5.0
./image_data/preprocessing_images\B\B877.jpg,1.0
./image_data/preprocessing_images\J\J307.jpg,9.0
./image_data/preprocessing_images\V\V182.jpg,21.0
./image_data/preprocessing_images\C\C488.jpg,2.0
./image_data/preprocessing_images\S\S408.jpg,18.0
./image_data/preprocessing_images\J\J799.jpg,9.0
./image_data/preprocessing_images\L\L166.jpg,11.0
./image_data/preprocessing_images\A\A680.jpg,0.0
./image_data/preprocessing_images\Q\Q607.jpg,16.0
./image_data/preprocessing_images\space\space748.jpg,28.0
./image_data/preprocessing_images\D\D588.jpg,3.0
./image_data/preprocessing_images\X\X534.jpg,23.0
./image_data/preprocessing_images\D\D498.jpg,3.0
./image_data/preprocessing_images\R\R721.jpg,17.0
./image_data/preprocessing_images\P\P423.jpg,15.0
./image_data/preprocessing_images\E\E65.jpg,4.0
./image_data/preprocessing_images\M\M135.jpg,12.0
./image_data/preprocessing_images\del\del599.jpg,26.0
./image_data/preprocessing_images\V\V496.jpg,21.0
./image_data/preprocessing_images\Y\Y867.jpg,24.0
./image_data/preprocessing_images\J\J953.jpg,9.0
./image_data/preprocessing_images\space\space194.jpg,28.0
./image_data/preprocessing_images\F\F304.jpg,5.0
./image_data/preprocessing_images\U\U172.jpg,20.0
./image_data/preprocessing_images\T\T248.jpg,19.0
./image_data/preprocessing_images\del\del1.jpg,26.0
./image_data/preprocessing_images\P\P885.jpg,15.0
./image_data/preprocessing_images\nothing\nothing713.jpg,27.0
